"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW011535","新文記汽車服務","SAN MAN KEE MOTOR SERVICE","新界","N.T.","北區","NORTH DISTRICT","粉嶺軍地北村 DD 83, LOT 165RP","DD 83, LOT 165RP Kwan Tei North Tsuen, Fanling","26595799","3","IC","2026-04-03","","22.510194","114.156692","的士","Taxi","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW011580","雪佛龍香港有限公司","CHEVRON HONG KONG LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","蒲崗村道與豐盛街交界加德士油站, NKIL 5797","NKIL 5797 Caltex Service Station, The Junction of Po Kong Village Road and Fung Shing Street, ","23296536","3","IC","2028-06-26","","22.34355","114.20852","私家車, 小巴, 輕型貨車","Private Car, Light Bus, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW011591","駿昇汽車公司","TUNE WORKS MOTOR CO","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","西營盤西營盤第三街22號地下","G/F, No. 22, Third Street,Sai Ying Pun Sai Ying Pun","90176467","4","IC","2027-11-14","","22.285603","114.143028","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011604","環球汽車服務公司","UNIVERSAL MOTOR SERVICE CO.","新界","N.T.","荃灣","TSUEN WAN","青山公路(近大窩口邨)加德士油站 DD 450, LOT 725","DD 450, LOT 725 Caltex Service Station, Castle Peak Road (Near Tai Wo Hau Estate), ","24285637","3","IC","2028-06-26","","22.37028","114.12548","私家車, 的士, 小巴, 輕型貨車","Private Car, Taxi, Light Bus, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW011637","同興汽車服務","TUNG HING CAR SERVICE","香港","Hong Kong","東區","EASTERN DISTRICT","筲箕灣興民街50號永興閣地下","G/F, Wing Hing Court, No. 50, Hing Man Street, Shau Kei Wan","25699390","4","IC","2028-06-26","","22.28116","114.22386","小巴","Light Bus","","","","","","","","","","","","","","","","","","","","",""
"VMW011671","KAM LUNG MOTOR BM LIMITED","KAM LUNG MOTOR BM LIMITED","九龍","Kowloon","觀塘","KWUN TONG","海濱道175號國際工業大廈地下","G/F International Industrial Building No. 175 Hoi Bun Road, ","21194861","1","IC","2028-11-29","","22.309955","114.21978","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW011693","華正亞洲有限公司","CENTRAL ASIA LIMITED","新界","N.T.","荃灣","TSUEN WAN","柴灣角街53-57號地下至三樓","G/F-3/F, No. 53-57, Chai Wan Kok Street, ","21194861","2","IC","2028-08-13","","22.37342","114.10801","私家車, 輕型貨車","Private Car, Light Goods Vehicle","車身修理, 車身噴漆","Body works, Spray painting","","","","","","","","","","","","","","","","","","",""
"VMW011706","起亞汽車(香港)有限公司","KIA MOTORS (HONG KONG) LIMITED","新界","N.T.","元朗","YUEN LONG","屏山青山公路屏山段 DD 121, LOT 75 , 88 & 92","DD 121, LOT 75 , 88 & 92 Fui Sha Wai, Ping Shan","27331622","1","IC","2028-09-07","","22.43976","114.00775","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011717","德旺汽車零件有限公司","TAKE ONE MOTOR PARTS LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","紅磡青州街3號紅磡花園地下F舖","Shop F, G/F, Hung Hom Garden, No. 3, Tsing Chau Street, Hung Hom","23629888","4","IC","2028-07-14","","22.30974","114.18682","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011728","偉光汽車公司","WAI KWONG MOTORS CO.","香港","Hong Kong","東區","EASTERN DISTRICT","新業街11號森龍工業大廈地下A2舖","Shop A2, G/F, Sum Lung Industrial Building, No. 11, Sun Yip Street, ","28984904","3","IC","2027-01-07","","22.2680141","114.2462022","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011739","萬景旅遊汽車有限公司","MAN KING TRAVEL & TRANSPORTATION CO. LIMITED","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","堅尼地城新海旁3號五福大廈A座地下2號舖","Flat 2, G/F, Block A, New Fortune House, No. 3, Wo Yee Hop Tsuen, Shing Mun Road, Kennedy Town","37021578","4","IC","2028-07-14","","22.28405","114.12849","小巴, 巴士","Light Bus, Bus","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011751","佳樂貿易公司","KAI LOK TRADING COMPANY","九龍","Kowloon","黃大仙","WONG TAI SIN","太子道東590號蜆殼油站","Shell Filling Station, No. 590, Prince Edward Road East, ","23833160","3","IC","2028-07-14","","22.33119","114.19455","私家車, 輕型貨車","Private Car, Light Goods Vehicle","更換機油服務","Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW011795","海洋車廠","OCEAN EXPRESS MOTOR WORKS FTY","新界","N.T.","北區","NORTH DISTRICT","粉嶺坪輋路 DD 77, LOT 566-568","DD 77, LOT 566-568 Ping Che Road, Fanling","26744444","3","IC","2028-07-14","","22.5263864","114.159525","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW011819","駿興汽車輪呔維修服務","CHUN HING MOTOR CAR MAINTENANCE SERVICES","新界","N.T.","沙田","SHA TIN","大圍大圍村第一街39號地下","G/F, No. 39, Tai Wai Village 1st Street, Tai Wai","26918812","4","IC","2026-05-08","","22.37546","114.17926","私家車","Private Car","一般車輛維修 (機械和電器工作), 輪胎服務, 電池服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Tyre, Battery, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW011820","聯通汽車服務","LUEN TUNG MOTOR SERVICE","九龍","Kowloon","黃大仙","WONG TAI SIN","環鳳街29號地下","G/F, No. 29, Wan Fung Street, ","23237269","4","IC","2027-08-29","","22.34459","114.19831","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW011846","江記車房","KONG KEE MOTOR CAR REPAIRS","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鹿鳴街22號地下","G/F, No. 22, Luk Ming Street, To Kwa Wan","","4","IC","2028-07-14","","22.32185","114.19175","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW011864","L'S MOTOR WORKSHOP","L'S MOTOR WORKSHOP","香港","Hong Kong","東區","EASTERN DISTRICT","北角清華街4-8號清暉臺地下3號舖","Shop 3, G/F, Ching Fai Terrace, No. 4-8, Ching Wah Street, North Point","28872968","4","IC","2028-07-14","","22.28878","114.19701","私家車, 電單車","Private Car, Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW011875","KOLO & CO","KOLO & CO","香港","Hong Kong","東區","EASTERN DISTRICT","北角清華街4-8號清暉臺地下1號舖","Shop 1, G/F, Ching Fai Terrace, No. 4-8, Ching Wah Street, North Point","28906222","4","IC","2028-07-14","","22.28882","114.19715","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","R","R","R","R","Mo 09:30-18:30, Tu 09:30-18:30, We 09:30-18:30, Th 09:30-18:30, Fr 09:30-18:30, Sa 09:30-18:30"
"VMW011900","鴻運汽車服務","HUNG WAN MOTORS SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣長寧街16號地下","G/F, No. 16, Cheung Ning Street, To Kwa Wan","27884042","4","IC,EVE","2028-10-09","","22.31695","114.1897","的士","Taxi","","","","","","","","","","","","","","","","","","","","",""
"VMW011922","國泰汽車服務","QUARTER MOTOR SERVICE","新界","N.T.","荃灣","TSUEN WAN","荃錦公路荃錦公路川龍村 DD 435","DD 435, Tsuen Lung Tsuen, Tsuen Kam Road, Route TWISK","24024452","3","IC","2027-04-16","","22.39227","114.11066","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW011936","新通車身廠","SAN TUNG CAR BODY FACTORY","新界","N.T.","北區","NORTH DISTRICT","粉嶺流水響道 DD 76, LOT 37","DD 76, LOT 37 Lau Shui Heung Road, Fanling","27159689","3","IC","2028-07-14","","22.5121022","114.1670193","中型貨車, 重型貨車","Medium Goods Vehicle, Heavy Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW011955","捷信汽車維修站有限公司","MOTORMECH SERVICE STATION LIMITED","九龍","Kowloon","觀塘","KWUN TONG","九龍灣啟祥道20號大昌行集團大廈2樓","2/F, DCH Building, No. 20, Kai Cheung Road, Kowloon Bay","29500280","3","IC","2029-01-26","","22.324432","114.2075","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","17:00","R","R","R","R","Mo 08:00-20:00, Tu 08:00-20:00, We 08:00-20:00, Th 08:00-20:00, Fr 08:00-20:00, Sa 08:00-17:00"
"VMW011987","宏力汽車維修服務","GREAT POWER CARS SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣長寧街30號A地下","G/F, No. 30A, Cheung Ning Street, To Kwa Wan","96212790","4","IC","2028-10-21","","22.31725","114.18984","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012006","仁孚行有限公司","ZUNG FU CO LTD","新界","N.T.","北區","NORTH DISTRICT","粉嶺安樂門街27號地下","G/F, No. 27, On Lok Mun Street, Fanling","26457232","1","IC,EVH","2028-08-06","","22.49888","114.14564","中型貨車, 重型貨車,其他","Medium Goods Vehicle, Heavy Goods Vehicle,Others","","","","","","","","","","","","","","","","","","","","",""
"VMW012017","仁孚行有限公司","ZUNG FU COMPANY LIMITED","新界","N.T.","元朗","YUEN LONG","東頭工業區寶業街萬輝工業中心地下1&4&5號舖","Flat 1&4&5, G/F, Mansfield Industrial Centre, Po Yip Street, Tung Tau Industrial Area","24733171","1","IC,EVH","2028-06-03","","22.45047","114.03165","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012040","仁孚行有限公司","ZUNG FU COMPANY LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","紅磡寶來街 ‎50號仁孚停車場大廈","Zung Fu Carpark Building, No. 50, Po Loi Street, Hung Hom","23639396","1","IC,EVH","2028-06-03","","22.30591","114.18683","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012051","新永昇汽車服務","NEW WING SING MOTOR SERVICES","九龍","Kowloon","黃大仙","WONG TAI SIN","環鳳街47號地下","G/F, No. 47, Wan Fung Street, ","","4","IC","2027-02-14","","22.3455689","114.1983979","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW012084","沈成記","SHUM SHING KEE ELECTRICAL SERVICE","九龍","Kowloon","觀塘","KWUN TONG","牛頭角定安街100-102號 H地下","G/F, No. 100-102H, Ting On Street, Ngau Tau Kok","27567833","4","IC","2028-07-22","","22.31789","114.21543","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012108","荃力汽車服務公司","TSUEN LIK MOTOR SERVICES CO.","新界","N.T.","葵青","KWAI TSING","青衣青衣西路171號加德士油站","Caltex Service Station, No. 171, Tsing Yi Road West, Tsing Yi","98099890","3","IC","2027-09-23","","22.35511","114.09918","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW012119","偉力汽車工程有限公司","WAI LIK (SIVIC) AUTO WORKS COMPANY LIMITED","新界","N.T.","沙田","SHA TIN","赤泥坪村 DD 42, LOT 416","DD 42, LOT 416 Chek Nai Ping Village, ","26461010","3","IC","2028-09-01","","22.419175","114.202406","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012120","卓智汽車服務公司","SYNERGY AUTO SERVICES","九龍","Kowloon","油尖旺","YAU TSIM MONG","佐敦文苑街43號地下","G/F, No. 43, Man Yuen Street, Jordan","23301062","4","IC","2028-07-22","","22.30766","114.16562","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012131","海暉汽車服務","SEAPOWER CAR SERVICE","新界","N.T.","葵青","KWAI TSING","葵涌葵德街16-26號金德工業大廈二座地下8號舖","Shop 8, G/F, Block 2, Golden Industrial Building, No. 16-26, Kwai Tak Street, Kwai Chung","26121862","3","IC","2028-07-22","","22.3532086","114.1237104","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012153","豐川汽車服務公司","TOYOKAWA MOTORS SERVICES COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鹿鳴街11號地下","G/F, No. 11, Luk Ming Street, To Kwa Wan","23643199","4","IC","2026-05-12","","22.32162","114.19153","私家車","Private Car","一般車輛維修 (機械和電器工作), 輪胎服務","General vehicle maintenance (mechanical and electrical work), Tyre","","","","","","","","","","","","","","","","","","",""
"VMW012166","紳迪汽車機械有限公司","GENTECH VEHICLE ENGINEERING LIMITED","新界","N.T.","元朗","YUEN LONG","石湖塘村錦上路11","11 Shek Wu Tong Tsuen, Kam Sheung Road, ","24736201","3","IC","2028-07-22","","22.42925","114.071917","輕型貨車, 中型貨車, 重型貨車","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 車身修理,其他","General vehicle maintenance (mechanical and electrical work), Body works,Others","","","","","","","","","","","","","","","","","","",""
"VMW012186","CARX3汽車服務","CARX3 MOTOR SERVICES","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣長寧街19號地下","G/F, No. 19, Cheung Ning Street, To Kwa Wan","23633330","4","IC","2027-03-26","","22.31717","114.18962","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012197","豪華汽車服務","HOOVER MOTOR SERVICE","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀樂群街19號A地下","G/F, No. 19A, Lok Kwan Street, Tai Kok Tsui","90219621","4","IC","2027-01-30","","22.3230517","114.1609294","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012222","翔利車行有限公司","FREELY MOTORS TRADING COMPANY LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣土瓜灣道94號美華工業中心地下B2舖","Flat B2, G/F, Merit Industrial Centre, No. 94, To Kwa Wan Road, To Kwa Wan","27182868","3","IC","2028-07-22","","22.31943","114.19198","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012230","鴻利汽車公司","HUNG LEE MOTOR CO","香港","Hong Kong","東區","EASTERN DISTRICT","北角清華街18-24號富景閣地下B舖","Shop B, G/F, Fu King Court, No. 18-24, Ching Wah Street, North Point","25771693","4","IC","2028-11-10","","22.2889","114.1975","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW012245","海宜汽車服務公司","HORIZONS AUTOMOBILE SERVICES","香港","Hong Kong","南區","SOUTHERN DISTRICT","鴨脷洲洪聖街22號利是大廈地下H舖","Shop H, G/F, Fortune Mansion, No. 22, Hung Shing Street, Ap Lei Chau","61595010","4","IC","2028-07-22","","22.24385","114.15611","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","Mo 09:00-18:30, Tu 09:00-18:30, We 09:00-18:30, Th 09:00-18:30, Fr 09:00-18:30, Sa 09:00-18:30"
"VMW012268","永基車房","WING KEI GARAGE","新界","N.T.","元朗","YUEN LONG","八鄉錦上路謝屋村 DD 112","DD 112, Tse Uk Tsuen, Kam Sheung Road, Pat Heung","24885167","3","IC","2028-11-10","","22.42974","114.09463","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW012276","友誠汽車服務有限公司","YAU SHING MOTOR VEHICLE SERVICES LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣銀漢街39號龍德大廈地下10號舖","Shop 10, G/F, Lung Teck Mansion, No. 39, Ngan Hon Street, To Kwa Wan","31113620","4","IC","2028-07-22","","22.31441","114.18949","私家車, 輕型貨車","Private Car, Light Goods Vehicle","其他","Others","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW012293","溢駿貿易公司","YAT CHUN TRADING COMPANY","新界","N.T.","元朗","YUEN LONG","洪水橋丹桂村丹桂村路336號","No. 336, Tan Kwai Tsuen Road, Tan Kwai Tsuen, Hung Shui Kiu","94573292","3","IC","2028-10-23","","22.431269","113.997994","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW012302","恒豐汽車服務公司","HANG FUNG MOTOR SERVICE COMPANY","九龍","Kowloon","觀塘","KWUN TONG","牛頭角定安街53號地下","G/F, No. 53, Ting On Street, Ngau Tau Kok","98390894","4","IC","2028-11-29","","22.3169799","114.216462","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW012346","安業汽車服務有限公司","ON YIP MOTOR SERVICES LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣安業街6號B合明工廠大廈地下","G/F, Hop Ming Factory Building, No. 6B, On Yip Street, Chai Wan","26529332","3","IC,EVL","2027-11-14","","22.26679","114.24621","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW012357","RAS LIMITED","RAS LIMITED","九龍","Kowloon","觀塘","KWUN TONG","九龍灣宏通街1號啟福工業中心A地下6號舖","6 G/F, A Kai Fuk Industrial Centre, No. 1, Wang Tung Street, Kowloon Bay","28967780","3","IC","2027-07-21","","22.32062","114.20689","私家車,其他","Private Car,Others","一般車輛維修 (機械和電器工作), 電動車/混能車(高壓電部分維修)","General vehicle maintenance (mechanical and electrical work), Maintenance for high-voltage parts of electric vehicles/ hybrid vehicles","","","","","","","","","","","","","","","","","","",""
"VMW012368","龍運巴士有限公司","LONG WIN BUS COMPANY LIMITED","新界","N.T.","離島","ISLANDS DISTRICT","大嶼山小蠔灣深豐路1號龍運巴士小蠔灣車廠","Long Win Bus, Siu Ho Wan Depot, No. 1, Sham Fung Road, Siu Ho Wan, Lantau Island","29847626","1","IC,EVL","2028-11-15","","22.31609","113.99794","巴士","Bus","","","","","","","","","","","","","","","","","","","","",""
"VMW012379","現代汽車香港有限公司","HYUNDAI HONG KONG CO. LIMITED","新界","N.T.","葵青","KWAI TSING","葵涌和宜合道26-30號","No. 26-30, Wo Yi Hop Road, Kwai Chung","31053828","1","IC,EVL","2028-09-07","","22.36597","114.13718","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","","","R","R","08:30","18:00","08:30","18:00","08:30","18:00","08:30","18:00","08:30","18:00","08:30","18:00","R","R","R","R","Mo 08:30-18:00, Tu 08:30-18:00, We 08:30-18:00, Th 08:30-18:00, Fr 08:30-18:00, Sa 08:30-18:00"
"VMW012380","大昌行汽車(奔利)有限公司","DAH CHONG HONG MOTORS (BINLI) LIMITED","九龍","Kowloon","觀塘","KWUN TONG","九龍灣啓祥道20號大昌行集團大廈1樓","1/F, DCH Building, No. 20, Kai Cheung Road, Kowloon Bay","22621288","1","IC","2025-09-28","*","22.32486","114.20786","私家車","Private Car","一般車輛維修 (機械和電器工作), 汽車玻璃, 輪胎服務, 電池服務, 空調服務, 車身鍍膜, 車輛配件 (包括影音系統/視聽組合/車載導航/防盜系統/資訊科技系統/倒車感應器/流動電話及通訊系統/電動刮水器/電控窗/電控座位及後窗除霧器)","General vehicle maintenance (mechanical and electrical work), Glazing, Tyre, Battery, Air-conditioning, Car body film protection, Vehicle accessories (including audio-visual system/audio-visual package/GPS navigation system/ security system/ information technology system/ parking sensor/ mobile communications system/electric windscreen wipers/ power windows/ power seats and rear defogger)","R","R","08:30","17:30","08:30","17:30","08:30","17:30","08:30","17:30","08:30","17:30","R","R","R","R","R","R","Mo 08:30-17:30, Tu 08:30-17:30, We 08:30-17:30, Th 08:30-17:30, Fr 08:30-17:30"
"VMW012404","歐亞汽車服務有限公司","EUROPEAN ASIAN AUTO SERVICES LIMITED","九龍","Kowloon","觀塘","KWUN TONG","偉業街189號金寶工業大廈地下前舖","Front Shop, G/F, Jumbo Industrial Building, No. 189, Wai Yip Street, ","29510168","3","IC","2026-12-25","","22.3105346","114.2208064","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012415","林記車房","LAM KEE GARAGE","香港","Hong Kong","東區","EASTERN DISTRICT","筲箕灣愛民街6號地下","G/F, No. 6, Ngoi Man Street, Shau Kei Wan","90830355","4","IC","2028-08-11","","22.27687","114.22742","私家車, 小巴, 輕型貨車","Private Car, Light Bus, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012437","鴻恩汽車服務","HUNG YAN MOTOR SERVICE","新界","N.T.","元朗","YUEN LONG","洪水橋石埗村252號","No. 252, Shek Po Tsuen, Hung Shui Kiu","27126095","3","IC","2028-08-11","","22.439859","113.99498","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","Su 09:00-19:00,Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW012448","尚駿汽車服務有限公司","SUPREME MOTOR SERVICES LIMITED","新界","N.T.","葵青","KWAI TSING","葵涌葵榮路12-18號安發工業大廈地下7號鋪","Shop 7, G/F, On Fat Industrial Building, No. 12-18, Kwai Wing Road, Kwai Chung","21110405","3","IC","2028-10-23","","22.36632","114.13431","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW012456","旺溢錦繡汽車服務公司","WON YIC AUTO SERVICES CO.","新界","N.T.","元朗","YUEN LONG","福興里下新圍路102號","No. 102, Fuk Hing Lei, Ha San Wai Road, ","","3","IC","2026-12-25","","22.47366","114.05454","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW012482","建邦汽車服務","KIN BONG MOTOR SERVICE","香港","Hong Kong","南區","SOUTHERN DISTRICT","黃竹坑業發街12號松柏工業大廈A座地下","G/F, Block A, Evergreen Industrial Mansion, No. 12, Yip Fat Street, Wong Chuk Hang","28735036","3","IC","2026-11-08","","22.24926","114.1693","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012493","捌號車房","GARAGE 8","九龍","Kowloon","觀塘","KWUN TONG","九龍灣啟祥道9號信和工商中心地下8號舖","Shop 8, G/F, Sino Industrial Plaza, No.9, Kai Cheung Road, Kowloon Bay","22192260","3","IC","2028-09-20","","22.3256","114.20475","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","R","R","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW012528","江記汽車服務","KWONG KEE MOTOR CAR SERVICE","九龍","Kowloon","黃大仙","WONG TAI SIN","鳴鳳街59號地下","G/F, No. 59, Ming Fung Street, ","23235508","4","IC","2028-02-11","","22.34407","114.19603","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW012532","華駿行","CHINA-WELL INTERNATIONAL CO.","新界","N.T.","元朗","YUEN LONG","石崗錦田公路 DD 109, LOT 529B","DD 109, LOT 529B Kam Tin Road, Shek Kong","24833982","3","IC","2027-05-19","","22.4402113","114.0739834","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 空調服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Air-conditioning, Engine oil changing","","","","","","","","","","","","","","","","","","",""
